uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,pr_avg_ratio,avg_connected_peers,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms,neighbour_down,neighbour_up,join_wait_ms,sender_joined,joined,saw_test,delivery_rate_joined_only
UC1_P10,run-20251203-203258_uc7_p10_m2000_r10_s256_DIRECT,0.9996500000000001,0.0,1999.3,1999.3,2000.0,0.0,0.0,0.0,1.0,1.0,1.6,1.7,0.5,0.6,0.6,0.6,0.7,1.0,4.341954542000954,0.2,0.1,2.0,2.0,2.0,3.9,7.7,466.3,1.0,1.0,1.0,0.9996500000000001
UC1_P10,run-20251203-203642_uc7_p10_m2000_r10_s256_DIRECT,0.99975,0.0,1999.5,1999.5,2000.0,0.0,0.0,0.0,1.0,1.0,1.7,2.5,0.6,0.6,0.7,0.7,0.8,1.0,4.014207361168958,0.5,0.2,2.5,2.5,2.5,3.8,7.5,3460.0,1.0,1.0,1.0,0.99975
UC1_P10,run-20251203-204019_uc7_p10_m2000_r10_s256_DIRECT,0.9996500000000001,0.0,1999.3,1999.3,2000.0,0.0,0.0,0.0,1.0,1.0,1.5,2.2,0.4,0.5,0.5,0.5,0.6,1.0,4.229041363533037,0.0,0.0,,,,3.5,7.1,4213.1,1.0,1.0,1.0,0.9996500000000001
UC1_P10,run-20251203-204356_uc7_p10_m2000_r10_s256_DIRECT,0.99975,0.0,1999.5,1999.5,2000.0,0.0,0.0,0.0,1.0,1.0,1.5,2.3,0.5,0.5,0.5,0.5,0.7,1.0,4.076608532926258,0.0,0.0,,,,4.0,7.6,5134.4,1.0,1.0,1.0,0.99975
UC1_P10,run-20251203-204735_uc7_p10_m2000_r10_s256_DIRECT,0.9997,0.0,1999.4,1999.4,2000.0,0.0,0.0,0.0,1.0,1.2,1.5,2.6,0.7,0.7,0.7,0.7,1.0,1.0,3.9998611134387105,0.0,0.0,,,,3.6,7.3,4453.7,1.0,1.0,1.0,0.9997
UC1_P10,run-20251203-205112_uc7_p10_m2000_r10_s256_DIRECT,0.99975,0.0,1999.5,1999.5,2000.0,0.0,0.0,0.0,1.0,1.1,1.6,2.6,0.5,0.7,0.7,0.7,0.8,1.0,4.499811479262891,0.0,0.0,,,,4.1,7.9,2069.4,1.0,1.0,1.0,0.99975
UC1_P10,run-20251203-205448_uc7_p10_m2000_r10_s256_DIRECT,0.99975,0.0,1999.5,1999.5,2000.0,0.0,0.0,0.0,1.0,1.1,1.5,3.0,0.4,0.6,0.6,0.6,0.8,1.0,4.147517120598559,0.0,0.0,,,,4.0,7.6,6134.5,1.0,1.0,1.0,0.99975
UC1_P10,run-20251203-205827_uc7_p10_m2000_r10_s256_DIRECT,0.9997,0.0,1999.4,1999.4,2000.0,0.0,0.0,0.0,1.0,1.1,1.6,2.0,0.6,0.7,0.7,0.7,1.4,1.0,4.270948628051852,0.0,0.0,,,,3.3,7.0,509.4,1.0,1.0,1.0,0.9997
UC1_P10,run-20251203-210201_uc7_p10_m2000_r10_s256_DIRECT,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,1.2,1.7,2.0,79.0,1.7,2.4,2.4,2.4,2.5,1.0,4.5002899087385595,0.0,0.1,0.0,0.0,0.0,3.7,7.3,520.1,1.0,1.0,1.0,1.0
UC1_P10,run-20251203-210535_uc7_p10_m2000_r10_s256_DIRECT,0.9996500000000001,0.0,1999.3,1999.3,2000.0,0.0,0.0,0.0,1.0,1.0,1.5,1.7,0.4,0.5,0.5,0.5,0.7,1.0,3.9276376598322797,0.1,0.2,0.5,0.5,0.5,3.6,7.2,2855.7,1.0,1.0,1.0,0.9996500000000001
UC1_P50,run-20251203-232900_uc7_p50_m2000_r10_s256_DIRECT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,0.0,0.0,30015.82,0.0,0.0,0.0,
UC1_P50,run-20251203-232954_uc7_p50_m2000_r10_s256_DIRECT,0.9393699999999999,0.0,1878.74,1878.74,1880.0,0.0,0.0,0.48936170212765956,3.25531914893617,4.212765957446808,7.851063829787234,32.4468085106383,1.8085106382978724,3.3404255319148937,3.3404255319148937,4.382978723404255,5.638297872340425,1.0,3.9582578228738567,0.44,0.08,5.5,5.5,5.5,12.16,14.78,5551.22,1.0,0.94,0.94,0.9993297872340425
UC1_P50,run-20251203-233355_uc7_p50_m2000_r10_s256_DIRECT,0.9590100000000001,0.0,1918.02,1918.02,1920.0,0.0,0.04,0.14583333333333334,2.2708333333333335,3.6875,7.854166666666667,58.125,1.5416666666666667,2.1666666666666665,2.25,4.0,6.604166666666667,1.0,3.863009464004549,3.56,0.18,19.77777777777778,19.77777777777778,19.77777777777778,16.92,19.58,1620.1,1.0,0.96,0.96,0.9989687500000001
UC1_P50,run-20251203-233800_uc7_p50_m2000_r10_s256_DIRECT,0.9591000000000001,0.0,1918.2,1918.2,1920.0,0.0,0.08,0.3125,3.2291666666666665,4.395833333333333,8.375,89.02083333333333,1.7083333333333333,3.2916666666666665,3.2916666666666665,4.458333333333333,7.333333333333333,1.0,3.8165420811884023,2.6,0.12,21.666666666666668,21.666666666666668,21.666666666666668,16.58,19.38,6354.94,1.0,0.96,0.96,0.9990625000000001
UC1_P50,run-20251203-234205_uc7_p50_m2000_r10_s256_DIRECT,0.93953,0.0,1879.06,1879.06,1880.0,0.0,0.0,0.3829787234042553,3.106382978723404,4.127659574468085,7.531914893617022,24.085106382978722,1.9148936170212767,2.872340425531915,3.021276595744681,3.74468085106383,5.957446808510638,1.0,3.868669222436944,2.98,0.36,10.307692307692308,10.307692307692308,10.307692307692308,17.58,20.52,5643.48,1.0,0.96,0.94,0.9786770833333334
UC1_P50,run-20251203-234607_uc7_p50_m2000_r10_s256_DIRECT,0.89955,0.0,1799.1,1799.1,1800.0,0.0,0.0,0.4444444444444444,3.0,3.933333333333333,5.933333333333334,15.466666666666667,2.5555555555555554,3.111111111111111,3.2,3.2,3.2,1.0,3.7252959151330227,0.42,0.06,7.0,7.0,7.0,6.06,8.84,7208.46,1.0,0.92,0.9,0.9777717391304348
UC1_P50,run-20251203-235012_uc7_p50_m2000_r10_s256_DIRECT,0.9385300000000001,0.0,1877.06,1877.06,1880.0,0.0,0.0,0.2978723404255319,2.7872340425531914,4.212765957446808,8.340425531914894,64.46808510638297,1.4893617021276595,3.425531914893617,3.4468085106382977,4.9361702127659575,6.617021276595745,1.0,3.843815707224883,10.48,0.08,174.33333333333334,174.33333333333334,174.33333333333334,18.14,20.96,1692.5,1.0,0.96,0.94,0.9776354166666668
UC1_P50,run-20251203-235414_uc7_p50_m2000_r10_s256_DIRECT,0.9589,0.0,1917.8,1917.8,1920.0,0.0,0.0,0.5625,3.0833333333333335,4.520833333333333,8.604166666666666,48.0,1.8541666666666667,3.1041666666666665,3.1041666666666665,4.708333333333333,5.1875,1.0,3.847606531241366,1.7,0.14,12.142857142857142,12.142857142857142,12.142857142857142,16.24,19.46,3690.9,1.0,0.96,0.96,0.9988541666666667
UC1_P50,run-20251203-235813_uc7_p50_m2000_r10_s256_DIRECT,0.95961,0.0,1919.22,1919.22,1920.0,0.0,0.0,0.3541666666666667,2.5833333333333335,3.9791666666666665,8.479166666666666,38.166666666666664,1.875,2.7291666666666665,2.7916666666666665,3.7291666666666665,6.520833333333333,1.0,3.8519430552227703,0.16,0.04,4.0,4.0,4.0,17.12,19.94,1463.38,1.0,0.96,0.96,0.99959375
UC1_P50,run-20251204-000214_uc7_p50_m2000_r10_s256_DIRECT,0.93928,0.0,1878.56,1878.56,1880.0,0.0,0.02,0.2978723404255319,2.4468085106382977,3.9148936170212765,8.74468085106383,74.76595744680851,1.4893617021276595,2.74468085106383,2.765957446808511,4.1063829787234045,7.085106382978723,1.0,3.7560598006585852,4247.34,0.18,30337.714285714286,30337.714285714286,30337.714285714286,17.92,20.86,1604.64,1.0,0.96,0.94,0.9784166666666666
UC2_P10,run-20251203-203530_uc8_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.5,2.5,3.4,4.4,7.8,1.5,1.5,1.5,1.5,1.6,1.0,3.5309269875003677,0.1,0.1,1.0,1.0,1.0,3.0,5.6,712.1,1.0,1.0,1.0,1.0
UC2_P10,run-20251203-204035_uc8_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.4,2.5,3.7,4.7,8.7,0.9,1.4,1.5,1.5,2.0,1.0,3.4528624118187823,2.4,0.1,24.0,24.0,24.0,1.5,4.8,1023.5,1.0,1.0,1.0,1.0
UC2_P10,run-20251203-204445_uc8_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.2,2.5,3.3,4.1,8.3,0.6,0.6,0.6,0.6,1.8,1.0,3.0759742566590287,2.4,0.1,24.0,24.0,24.0,2.6,4.5,1837.9,1.0,1.0,1.0,1.0
UC2_P10,run-20251203-204855_uc8_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.4,2.7,3.4,4.4,9.3,1.3,1.3,1.4,1.4,1.6,1.0,3.1981679072250855,2.2,0.4,5.5,5.5,5.5,2.7,5.1,462.3,1.0,1.0,1.0,1.0
UC2_P10,run-20251203-205306_uc8_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.8,3.1,3.7,4.6,8.7,1.8,1.8,1.8,1.8,2.3,1.0,3.776731939242995,0.0,0.0,,,,2.2,5.0,143.2,1.0,1.0,1.0,1.0
UC2_P10,run-20251203-205717_uc8_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.4,2.6,3.7,4.8,9.6,1.1,1.1,1.7,1.7,2.0,1.0,3.459882453162815,0.0,0.0,,,,3.0,5.6,449.9,1.0,1.0,1.0,1.0
UC2_P10,run-20251203-210127_uc8_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.3,2.5,3.5,4.5,9.1,0.9,1.1,1.3,1.3,1.5,1.0,3.1146872607023335,2.0,0.2,10.0,10.0,10.0,1.9,4.6,469.3,1.0,1.0,1.0,1.0
UC2_P10,run-20251203-210537_uc8_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.2,2.4,3.2,3.9,5.9,0.8,0.8,0.9,0.9,1.7,1.0,3.46483390065467,2.3,0.2,11.5,11.5,11.5,3.6,6.1,201.5,1.0,1.0,1.0,1.0
UC2_P10,run-20251203-210949_uc8_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,2.6,3.6,4.6,10.6,0.5,1.5,1.6,1.6,1.6,1.0,3.192517380594102,2.0,0.3,6.666666666666667,6.666666666666667,6.666666666666667,1.9,5.0,3435.5,1.0,1.0,1.0,1.0
UC2_P10,run-20251203-211408_uc8_p10_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.3,2.2,3.3,4.1,7.2,1.1,1.1,1.3,1.3,1.3,1.0,3.6511090012561267,2.8,0.3,9.333333333333334,9.333333333333334,9.333333333333334,2.4,5.1,173.8,1.0,1.0,1.0,1.0
UC2_P50,run-20251204-000810_uc8_p50_m2000_r10_s256_RELAY,0.99886,0.0,1997.72,1997.72,2000.0,0.0,1.5,1.22,4.32,8.0,18.1,87.12,2.08,3.42,3.66,3.66,4.28,1.0,3.171413622213541,2.2,0.16,20.8,20.8,20.8,16.74,19.04,1065.72,1.0,1.0,1.0,0.99886
UC2_P50,run-20251204-001221_uc8_p50_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.3,2.54,4.1,7.08,26.38,2.08,2.62,2.74,2.74,5.78,1.0,3.221317862924696,4484.92,0.26,24912.666666666668,24912.666666666668,24912.666666666668,15.4,18.04,1205.6,1.0,1.0,1.0,1.0
UC2_P50,run-20251204-001632_uc8_p50_m2000_r10_s256_RELAY,0.97887,0.0,1957.74,1957.74,1960.0,0.0,0.06,0.42857142857142855,2.7755102040816326,5.224489795918367,10.510204081632653,62.59183673469388,2.816326530612245,3.020408163265306,3.020408163265306,3.7755102040816326,5.142857142857143,1.0,2.8409049365843457,5025.46,0.32,1169.6363636363637,22654.545454545456,22654.545454545456,16.08,18.38,1620.66,1.0,1.0,0.98,0.97887
UC2_P50,run-20251204-002048_uc8_p50_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.4,2.26,3.88,7.52,45.14,2.36,2.68,2.68,2.68,3.94,1.0,3.0312431122527452,0.94,0.08,11.75,11.75,11.75,15.14,17.76,1596.76,1.0,1.0,1.0,1.0
UC2_P50,run-20251204-002502_uc8_p50_m2000_r10_s256_RELAY,0.96098,0.0,1921.96,1921.96,1960.0,0.0,5.32,0.20408163265306123,2.204081632653061,236.3877551020408,526.4285714285714,658.3061224489796,1.6326530612244898,3.510204081632653,4.673469387755102,5.979591836734694,6.6938775510204085,1.0,2.951803464709913,326.12,0.42,1326.8333333333333,1341.6666666666667,1341.6666666666667,21.42,23.46,233.56,1.0,1.0,0.98,0.96098
UC2_P50,run-20251204-002913_uc8_p50_m2000_r10_s256_RELAY,0.99934,0.0,1998.68,1998.68,2000.0,0.0,6.68,0.86,4.44,198.78,384.42,475.36,1.66,2.58,2.76,3.72,4.64,1.0,3.0149795958397094,4289.4,0.48,130.6,14295.933333333332,14295.933333333332,19.06,21.5,1157.2,1.0,1.0,1.0,0.99934
UC2_P50,run-20251204-003334_uc8_p50_m2000_r10_s256_RELAY,0.98,0.0,1960.0,1960.0,1960.0,0.0,0.0,0.2653061224489796,2.5714285714285716,3.877551020408163,6.653061224489796,47.673469387755105,2.0408163265306123,2.4489795918367347,2.4489795918367347,2.4489795918367347,3.7142857142857144,1.0,3.2819235076909967,0.7,0.16,4.375,4.375,4.375,13.9,16.4,1710.6,1.0,0.98,0.98,1.0
UC2_P50,run-20251204-003749_uc8_p50_m2000_r10_s256_RELAY,0.98,0.0,1960.0,1960.0,1960.0,0.0,0.0,0.22448979591836735,1.7551020408163265,3.7551020408163267,6.3061224489795915,48.326530612244895,2.0408163265306123,2.306122448979592,2.306122448979592,2.306122448979592,3.9591836734693877,1.0,3.075586297779858,4.04,0.3,17.818181818181817,17.818181818181817,17.818181818181817,15.84,17.92,1845.2,1.0,0.98,0.98,1.0
UC2_P50,run-20251204-004202_uc8_p50_m2000_r10_s256_RELAY,0.99884,0.0,1997.68,1997.68,2000.0,0.0,0.36,1.24,3.46,5.9,14.14,87.96,2.0,4.08,4.16,4.26,5.8,1.0,2.956760207801901,4442.32,0.34,17081.384615384617,17083.46153846154,17083.46153846154,16.0,18.34,1307.22,1.0,1.0,1.0,0.99884
UC2_P50,run-20251204-004611_uc8_p50_m2000_r10_s256_RELAY,1.0,0.0,2000.0,2000.0,2000.0,0.0,0.0,0.38,1.86,3.94,7.04,61.64,2.12,3.16,3.24,3.24,3.48,1.0,3.142693927941997,8.66,0.36,29.0,29.0,29.0,16.5,19.04,834.42,1.0,1.0,1.0,1.0
UC3_P10,run-20251203-232813_uc9_p10_m2000_r10_s256_DIRECT,0.88555,0.0,1771.1,1771.1,1800.0,0.0,151.8,31.22222222222222,116.77777777777777,314.77777777777777,515.1111111111111,719.4444444444445,0.3333333333333333,0.7777777777777778,1.3333333333333333,2.2222222222222223,3.0,1.0,3.314758667159788,504.6,0.4,1482.6666666666667,1482.6666666666667,1482.6666666666667,2.1,5.2,6393.6,1.0,0.9,0.9,0.9839444444444444
UC3_P10,run-20251203-233157_uc9_p10_m2000_r10_s256_DIRECT,0.7929,0.0,1585.8,1585.8,1600.0,0.0,162.9,32.75,169.875,370.5,584.375,894.625,0.0,0.875,2.125,3.375,4.5,1.0,3.842725703347148,70.4,0.1,704.0,704.0,704.0,3.6,6.4,7726.0,1.0,0.8,0.8,0.991125
UC3_P10,run-20251203-233540_uc9_p10_m2000_r10_s256_DIRECT,0.9925,0.0,1985.0,1985.0,2000.0,0.0,159.8,31.0,99.7,277.1,453.4,844.7,0.3,0.6,1.4,2.3,3.4,1.0,3.9131917462698205,235.6,0.2,1178.0,1178.0,1178.0,3.8,7.4,1984.3,1.0,1.0,1.0,0.9925
UC3_P10,run-20251203-233923_uc9_p10_m2000_r10_s256_DIRECT,0.9898,0.0,1979.6,1979.6,2000.0,0.0,207.2,41.4,157.7,347.7,543.4,806.5,0.2,0.7,1.9,3.2,4.6,1.0,3.5487244702684224,100.5,0.2,502.5,502.5,502.5,2.3,5.9,2546.6,1.0,1.0,1.0,0.9898
