uc,run,delivery_rate,duplicate_rate,received_unique,recv_total,total_expected,duplicates,out_of_order,lat_min,lat_p50,lat_p90,lat_p99,lat_max,ldh_min,ldh_p50,ldh_p90,ldh_p99,ldh_max,pr_avg_ratio,avg_connected_peers,downtime_total_ms,downtime_periods,downtime_p50_ms,downtime_p90_ms,downtime_max_ms,neighbour_down,neighbour_up,join_wait_ms,sender_joined,joined,saw_test,delivery_rate_joined_only
UC3_P10,run-20251203-234306_uc9_p10_m2000_r10_s256_DIRECT,0.99215,0.0,1984.3,1984.3,2000.0,0.0,170.3,32.8,132.9,334.7,543.4,2576.7,0.4,0.7,1.5,2.6,3.7,1.0,3.814307774706274,171.5,0.2,857.5,857.5,857.5,3.5,7.2,2142.9,1.0,1.0,1.0,0.99215
UC3_P10,run-20251203-234649_uc9_p10_m2000_r10_s256_DIRECT,0.8854,0.0,1770.8,1770.8,1800.0,0.0,122.0,32.77777777777778,113.66666666666667,311.8888888888889,546.4444444444445,931.3333333333334,0.4444444444444444,0.5555555555555556,1.1111111111111112,2.2222222222222223,3.2222222222222223,1.0,3.5490456065224163,40.8,0.1,408.0,408.0,408.0,1.7,4.7,6494.7,1.0,0.9,0.9,0.9837777777777776
UC3_P10,run-20251203-235032_uc9_p10_m2000_r10_s256_DIRECT,0.9894000000000001,0.0,1978.8,1978.8,2000.0,0.0,215.7,44.4,161.3,353.0,554.4,767.5,0.3,0.7,2.0,3.2,4.4,1.0,3.575394044694619,48.0,0.2,240.0,240.0,240.0,3.3,6.4,2696.4,1.0,1.0,1.0,0.9894000000000001
UC3_P10,run-20251203-235415_uc9_p10_m2000_r10_s256_DIRECT,0.9891,0.0,1978.2,1978.2,2000.0,0.0,197.9,36.3,181.5,443.7,1153.0,2050.2,0.3,0.8,1.9,3.1,4.4,1.0,3.6266009666844012,115.8,0.1,1158.0,1158.0,1158.0,2.3,5.5,2700.8,1.0,1.0,1.0,0.9891
UC3_P10,run-20251203-235759_uc9_p10_m2000_r10_s256_DIRECT,0.8897,0.0,1779.4,1779.4,1800.0,0.0,164.1,32.55555555555556,142.66666666666666,330.3333333333333,527.3333333333334,815.7777777777778,0.2222222222222222,0.5555555555555556,1.7777777777777777,2.888888888888889,4.111111111111111,1.0,3.351701881693737,198.2,0.2,991.0,991.0,991.0,1.2,4.4,5517.2,1.0,0.9,0.9,0.9885555555555556
UC3_P10,run-20251204-000143_uc9_p10_m2000_r10_s256_DIRECT,0.9925499999999999,0.0,1985.1,1985.1,2000.0,0.0,247.5,39.3,191.8,399.4,613.1,1050.5,0.2,0.8,2.1,3.4,4.7,1.0,3.9064001416095437,115.4,0.3,384.6666666666667,384.6666666666667,384.6666666666667,2.8,6.8,1899.8,1.0,1.0,1.0,0.9925499999999999
UC3_P50,run-20251204-103411_uc9_p50_m2000_r10_s256_DIRECT,0.9930800000000001,0.0,1986.16,1986.16,2000.0,0.0,311.32,62.9,275.2,473.94,745.46,4545.46,0.56,1.56,3.48,5.3,10.88,1.0,3.6274492221671135,124.18,0.26,511.54545454545456,511.54545454545456,511.54545454545456,18.9,21.66,1702.44,1.0,1.0,1.0,0.9930800000000001
UC3_P50,run-20251204-103810_uc9_p50_m2000_r10_s256_DIRECT,0.99524,0.0,1990.48,1990.48,2000.0,0.0,312.86,61.6,281.46,484.84,852.0,7527.0,0.52,1.62,3.64,5.66,10.26,1.0,3.6843655749074675,1921.16,0.22,8732.545454545454,8732.545454545454,8732.545454545454,19.5,22.24,1331.42,1.0,1.0,1.0,0.99524
UC3_P50,run-20251204-104210_uc9_p50_m2000_r10_s256_DIRECT,0.99702,0.0,1994.04,1994.04,2000.0,0.0,329.42,63.8,295.6,515.76,913.54,3182.58,0.58,1.6,3.68,5.74,10.5,1.0,3.8462719120417956,108.46,0.28,398.61538461538464,398.61538461538464,398.61538461538464,19.34,22.12,1153.24,1.0,1.0,1.0,0.99702
UC3_P50,run-20251204-104609_uc9_p50_m2000_r10_s256_DIRECT,0.9950500000000001,0.0,1990.1,1990.1,2000.0,0.0,312.2,56.54,272.0,472.72,733.06,3275.64,0.36,1.46,3.48,5.3,8.52,1.0,3.7453284715196395,165.08,0.24,776.2222222222222,849.3333333333334,849.3333333333334,19.34,22.06,1140.78,1.0,1.0,1.0,0.9950500000000001
UC3_P50,run-20251204-105009_uc9_p50_m2000_r10_s256_DIRECT,0.9976700000000001,0.0,1995.34,1995.34,2000.0,0.0,325.36,66.3,306.86,516.86,807.6,5338.68,0.58,1.96,3.98,5.98,10.2,1.0,3.422699607093193,5001.08,0.58,11797.3,11828.75,11828.75,19.22,22.14,2434.1,1.0,1.0,1.0,0.9976700000000001
UC3_P50,run-20251204-105411_uc9_p50_m2000_r10_s256_DIRECT,0.99464,0.0,1989.28,1989.28,2000.0,0.0,321.22,67.0,294.68,503.24,856.94,6506.14,0.62,1.62,3.72,5.68,8.88,1.0,3.6221924137078556,202.06,0.38,574.4,574.4,574.4,18.3,21.08,2582.22,1.0,1.0,1.0,0.99464
UC3_P50,run-20251204-105812_uc9_p50_m2000_r10_s256_DIRECT,0.9939100000000001,0.0,1987.82,1987.82,2000.0,0.0,320.66,66.64,307.9,516.36,790.56,4842.6,0.6,2.0,4.08,5.96,10.26,1.0,3.7469354676555513,304.34,0.5,662.3125,777.4375,777.4375,19.46,22.7,1564.74,1.0,1.0,1.0,0.9939100000000001
UC3_P50,run-20251204-110211_uc9_p50_m2000_r10_s256_DIRECT,0.99351,0.0,1987.02,1987.02,2000.0,0.0,309.9,63.86,279.52,477.74,837.92,4314.04,0.54,1.78,3.94,5.72,9.98,1.0,3.5104157571067547,294.56,0.56,585.9047619047619,617.4761904761905,617.4761904761905,18.66,21.6,2762.62,1.0,1.0,1.0,0.99351
UC3_P50,run-20251204-110612_uc9_p50_m2000_r10_s256_DIRECT,0.9911,0.0,1982.2,1982.2,2000.0,0.0,311.42,61.4,281.46,479.22,742.02,5409.58,0.5,1.66,3.8,5.52,8.66,1.0,3.699945423683993,337.96,0.58,732.0,736.4,736.4,18.98,21.82,1877.2,1.0,1.0,1.0,0.9911
UC3_P50,run-20251204-111011_uc9_p50_m2000_r10_s256_DIRECT,0.97661,0.0,1953.22,1953.22,1960.0,0.0,317.26,64.89795918367346,315.61224489795916,534.5102040816327,872.5510204081633,5804.3877551020405,0.5714285714285714,1.836734693877551,3.9183673469387754,6.081632653061225,9.428571428571429,1.0,3.8646895490006306,97.84,0.22,454.6,454.6,454.6,19.04,21.76,1538.84,1.0,0.98,0.98,0.9965408163265306
UC4_P10,run-20251204-113128_uc10_p10_m2000_r10_s256_RELAY,0.7961,0.0,1592.2,1592.2,1600.0,0.0,156.2,39.0,167.625,394.625,617.5,1110.25,0.375,0.875,1.875,3.375,4.625,1.0,3.399157325460396,22.0,0.1,220.0,220.0,220.0,1.5,4.1,9379.6,1.0,0.8,0.8,0.995125
UC4_P10,run-20251204-113521_uc10_p10_m2000_r10_s256_RELAY,0.8993,0.0,1798.6,1798.6,1800.0,0.0,157.8,35.55555555555556,121.33333333333333,307.6666666666667,499.0,846.5555555555555,0.4444444444444444,0.6666666666666666,1.6666666666666667,2.5555555555555554,3.888888888888889,1.0,4.172843643132606,0.0,0.0,,,,2.3,5.6,4168.9,1.0,0.9,0.9,0.9992222222222222
UC4_P10,run-20251204-113910_uc10_p10_m2000_r10_s256_RELAY,0.9978,0.0,1995.6,1995.6,2000.0,0.0,245.4,38.1,187.0,392.7,647.7,1028.2,0.3,0.9,2.2,3.4,4.7,1.0,3.7188525412295212,0.0,0.0,,,,2.9,6.3,1749.4,1.0,1.0,1.0,0.9978
UC4_P10,run-20251204-114259_uc10_p10_m2000_r10_s256_RELAY,0.89985,0.0,1799.7,1799.7,1800.0,0.0,200.7,43.333333333333336,174.11111111111111,382.77777777777777,632.7777777777778,2031.111111111111,0.4444444444444444,1.1111111111111112,1.8888888888888888,3.0,4.333333333333333,1.0,3.9331552402972836,0.0,0.0,,,,4.5,7.3,4391.9,1.0,0.9,0.9,0.9998333333333334
UC4_P10,run-20251204-114648_uc10_p10_m2000_r10_s256_RELAY,0.7934,0.0,1586.8,1586.8,1600.0,0.0,117.2,29.125,100.75,291.875,513.625,994.75,0.25,0.5,1.25,2.25,3.25,1.0,3.2616840120164934,119.2,0.1,1192.0,1192.0,1192.0,1.2,4.1,8366.7,1.0,0.8,0.8,0.99175
UC4_P10,run-20251204-115037_uc10_p10_m2000_r10_s256_RELAY,0.99785,0.0,1995.7,1995.7,2000.0,0.0,200.9,42.0,161.7,400.5,676.0,1394.7,0.6,1.1,2.0,3.1,4.2,1.0,3.674569531358478,238.0,0.4,595.0,595.0,595.0,3.9,7.3,1812.3,1.0,1.0,1.0,0.99785
UC4_P10,run-20251204-115425_uc10_p10_m2000_r10_s256_RELAY,0.79865,0.0,1597.3,1597.3,1600.0,0.0,129.1,31.25,104.5,296.5,528.25,857.375,0.375,0.625,1.25,2.375,3.75,1.0,3.5291883136865074,21.3,0.1,213.0,213.0,213.0,2.0,4.6,7358.6,1.0,0.8,0.8,0.9983124999999999
UC4_P10,run-20251204-115814_uc10_p10_m2000_r10_s256_RELAY,0.9986499999999999,0.0,1997.3,1997.3,2000.0,0.0,246.9,41.9,213.1,549.6,1550.5,2055.4,0.3,0.9,1.6,2.8,4.1,1.0,3.5020807107605436,0.0,0.0,,,,3.2,6.1,2207.5,1.0,1.0,1.0,0.9986499999999999
UC4_P10,run-20251204-120203_uc10_p10_m2000_r10_s256_RELAY,0.9995,0.0,1999.0,1999.0,2000.0,0.0,224.6,47.9,214.3,469.7,799.8,1373.5,0.4,0.9,1.9,3.9,4.7,1.0,3.4228335785061907,260.5,0.3,868.3333333333334,868.3333333333334,868.3333333333334,3.1,6.5,1268.2,1.0,1.0,1.0,0.9995
UC4_P10,run-20251204-120552_uc10_p10_m2000_r10_s256_RELAY,0.6980000000000001,0.0,1396.0,1396.0,1400.0,0.0,145.6,31.142857142857142,174.42857142857142,389.0,1201.5714285714287,1829.857142857143,0.2857142857142857,1.0,2.142857142857143,3.0,3.857142857142857,1.0,3.504705968023136,0.0,0.0,,,,0.6,3.3,10410.7,1.0,0.7,0.7,0.9971428571428572
UC4_P50,run-20251205-202651_uc10_p50_m2000_r10_s256_RELAY,0.83821,0.0,1676.42,1676.42,1680.0,0.0,240.86,98.26190476190476,438.3095238095238,759.3809523809524,1192.7857142857142,2490.3809523809523,1.3571428571428572,2.6904761904761907,4.5,6.833333333333333,9.19047619047619,1.0,4.0573268650727305,112.84,0.18,626.8888888888889,626.8888888888889,626.8888888888889,9.48,12.22,34931.44,1.0,0.84,0.84,0.9978690476190476
UC4_P50,run-20251205-203059_uc10_p50_m2000_r10_s256_RELAY,0.8396899999999999,0.0,1679.38,1679.38,1680.0,0.0,266.94,68.47619047619048,326.0,556.3333333333334,1324.952380952381,4425.785714285715,0.6904761904761905,1.9047619047619047,3.9761904761904763,6.190476190476191,9.80952380952381,1.0,3.5170104431477256,7341.34,0.42,24269.866666666665,24286.066666666666,24286.066666666666,14.44,16.72,35567.58,1.0,0.84,0.84,0.9996309523809523
UC4_P50,run-20251205-203503_uc10_p50_m2000_r10_s256_RELAY,0.79861,0.0,1597.22,1597.22,1600.0,0.0,268.66,74.125,383.9,654.875,1091.575,5110.825,0.725,2.175,4.2,6.425,9.025,1.0,3.9168670618503603,338.38,0.38,688.5625,1003.8125,1003.8125,12.1,14.64,44122.22,1.0,0.8,0.8,0.9982625
UC4_P50,run-20251205-203907_uc10_p50_m2000_r10_s256_RELAY,0.85905,0.0,1718.1,1718.1,1720.0,0.0,267.7,61.81395348837209,283.0232558139535,484.95348837209303,849.4418604651163,3273.046511627907,0.627906976744186,1.558139534883721,3.697674418604651,5.488372093023256,8.046511627906977,1.0,3.6200389191423676,378.54,0.5,805.0,805.0,805.0,17.32,19.58,31212.08,1.0,0.86,0.86,0.9988953488372093
UC4_P50,run-20251205-204309_uc10_p50_m2000_r10_s256_RELAY,0.73846,0.0,1476.92,1476.92,1480.0,0.0,223.56,62.37837837837838,264.4054054054054,463.05405405405406,1047.4054054054054,2673.189189189189,0.5675675675675675,1.4864864864864864,3.6216216216216215,5.324324324324325,8.27027027027027,1.0,3.87505829722444,3208.06,0.3,13071.25,13137.333333333334,13137.333333333334,12.58,14.86,56099.72,1.0,0.74,0.74,0.9979189189189189
UC4_P50,run-20251205-204713_uc10_p50_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,2.807355604838399,228.96,0.3,829.5454545454545,829.5454545454545,829.5454545454545,5.6,7.7,65527.86,0.0,0.7,0.0,0.0
UC4_P50,run-20251205-205112_uc10_p50_m2000_r10_s256_RELAY,0.61706,0.0,1234.12,1234.12,1240.0,0.0,220.08,79.09677419354838,438.19354838709677,742.2258064516129,1690.5806451612902,12718.709677419354,0.8709677419354839,2.225806451612903,4.451612903225806,6.709677419354839,8.838709677419354,1.0,3.869726518908384,283.04,0.28,1137.75,1137.75,1137.75,6.66,8.74,83378.72,1.0,0.62,0.62,0.9952580645161291
UC4_P50,run-20251205-205517_uc10_p50_m2000_r10_s256_RELAY,0.6386400000000001,0.0,1277.28,1277.28,1280.0,0.0,198.86,60.625,297.5,538.0625,1824.9375,5409.875,0.5625,1.78125,3.6875,5.5,7.9375,1.0,3.490894117722454,109.48,0.14,782.0,782.0,782.0,9.38,11.24,78059.22,1.0,0.64,0.64,0.9978750000000001
UC4_P50,run-20251205-205923_uc10_p50_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,3.1469453368996367,71.28,0.04,1782.0,1782.0,1782.0,2.46,3.9,124403.32,0.0,0.42,0.0,0.0
UC4_P50,run-20251205-210321_uc10_p50_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,2.810938207000714,127.6,0.22,580.0,580.0,580.0,5.14,7.66,65977.74,0.0,0.7,0.0,0.0
UC4_P50,run-20251205-211913_uc10_p50_m2000_r10_s256_RELAY,0.69708,0.0,1394.16,1394.16,1400.0,0.0,221.54,66.71428571428571,360.34285714285716,609.2,1231.2571428571428,3840.457142857143,0.6857142857142857,2.1142857142857143,4.057142857142857,6.171428571428572,8.428571428571429,1.0,4.003462321876853,89.6,0.16,614.2857142857143,614.2857142857143,614.2857142857143,9.24,11.64,66284.12,1.0,0.7,0.7,0.9958285714285714
UC4_P50,run-20251205-212320_uc10_p50_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,2.681937159212623,343.28,0.32,1190.2857142857142,1190.2857142857142,1190.2857142857142,4.54,6.74,71219.26,0.0,0.68,0.0,0.0
UC4_P50,run-20251205-212718_uc10_p50_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,2.8357339513821147,132.9,0.12,1308.8,1308.8,1308.8,3.64,5.58,95831.16,0.0,0.56,0.0,0.0
UC4_P50,run-20251205-213115_uc10_p50_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,3.098920476639011,128.82,0.12,1280.8,1280.8,1280.8,4.54,6.78,76041.28,0.0,0.66,0.0,0.0
UC4_P50,run-20251205-213513_uc10_p50_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,2.7726445063583016,295.48,0.3,964.1111111111111,1376.5555555555557,1376.5555555555557,5.98,8.24,49931.64,0.0,0.78,0.0,0.0
UC4_P50,run-20251205-213911_uc10_p50_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,2.9118060632288727,81.88,0.12,682.3333333333334,682.3333333333334,682.3333333333334,5.82,8.06,68948.54,0.0,0.68,0.0,0.0
UC4_P50,run-20251205-214307_uc10_p50_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,2.9523508250051327,169.94,0.14,1324.1666666666667,1324.1666666666667,1324.1666666666667,3.34,4.92,112731.74,0.0,0.48,0.0,0.0
UC4_P50,run-20251205-214705_uc10_p50_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,2.8312047145072046,126.96,0.12,1109.2,1109.2,1109.2,5.12,7.32,70939.0,0.0,0.68,0.0,0.0
UC4_P50,run-20251205-215103_uc10_p50_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,3.247206842026795,294.46,0.22,1530.5,1530.5,1530.5,5.46,7.38,80522.54,0.0,0.62,0.0,0.0
UC4_P50,run-20251205-215501_uc10_p50_m2000_r10_s256_RELAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,3.518978433406086,22.3,0.06,371.6666666666667,371.6666666666667,371.6666666666667,5.26,7.48,67983.58,0.0,0.68,0.0,0.0
